From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-07-08,38.96208333333333,54.837916666666665,12.933749999999998,38.430416666666666,51.36333333333334,6.990833333333334,2.1141666666666667,15.518749999999999,0.03833333333333334,0.6583333333333333,,24.393333333333334,73.62291666666667,1.4916666666666665,19.060416666666665,81.41833333333334,941.3420833333333,,0.3175,0.22749999999999998
2016-07-09,32.104166666666664,47.50333333333333,12.978333333333333,38.510416666666664,51.48708333333334,7.014166666666667,2.18125,14.512916666666667,0.04041666666666666,0.6966666666666667,,23.86708333333333,75.97083333333333,1.3183333333333334,18.27958333333333,56.82125,940.34875,,0.2966666666666667,0.4166666666666667
2016-07-10,21.144782608695653,28.416666666666668,12.661666666666667,37.9225,50.58416666666667,6.844166666666666,2.142916666666667,14.572083333333333,0.03208333333333333,0.4879166666666667,,23.37291666666667,79.70208333333333,1.1275,17.374583333333334,49.03541666666666,939.6108333333333,,0.17833333333333334,0.3
2016-07-11,21.157916666666665,36.70791666666667,12.813749999999999,38.20666666666667,51.02,6.926666666666667,2.152083333333333,15.094583333333333,0.06708333333333334,1.0883333333333334,,23.737083333333334,78.25166666666667,0.9,17.277916666666666,42.34125,939.755,,0.4925,0.16333333333333333
2016-07-12,19.165454545454544,34.29708333333333,12.972500000000002,38.50083333333333,51.47291666666666,7.0125,2.2408333333333332,14.615416666666667,0.06999999999999999,1.0616666666666668,,24.387916666666666,76.82625,0.8841666666666668,17.892500000000002,80.52416666666666,940.5058333333333,,0.5016666666666666,0.25
2016-07-13,29.555416666666662,51.13458333333333,13.488333333333335,39.46,52.94875,7.291666666666667,2.316666666666667,15.669583333333334,0.0575,1.0045833333333334,,25.40833333333333,71.76041666666667,1.12875,18.780833333333334,130.08333333333334,941.2575,,0.4245833333333333,0.2175
2016-07-14,25.241249999999997,46.15083333333334,13.005,38.558749999999996,51.562916666666666,7.029583333333334,2.27375,15.312083333333334,0.049166666666666664,0.9154166666666667,,25.46666666666667,69.54208333333334,1.3483333333333334,19.39,125.85958333333333,941.6441666666666,,0.4008333333333333,0.25
2016-07-15,39.36875,55.819583333333334,11.714999999999998,36.16125,47.875416666666666,6.331666666666667,2.1816666666666666,21.452173913043477,0.06375,0.9833333333333334,,24.620833333333334,73.0025,0.9158333333333334,19.5575,76.89636363636363,942.53875,,0.4295833333333334,0.25
2016-07-16,35.329166666666666,59.62166666666667,9.51125,32.05083333333334,41.56166666666667,5.141666666666667,2.254166666666667,12.125416666666666,0.048749999999999995,0.83625,,26.125416666666666,65.49125,1.3825,19.060416666666665,202.9029411764706,942.9258333333333,,0.37666666666666665,
2016-07-17,19.250833333333333,34.677083333333336,8.914166666666667,30.954583333333332,39.86541666666667,4.819166666666667,2.3345833333333332,11.79625,0.03875,0.6725,,25.527916666666666,69.53583333333334,1.1970833333333333,19.0775,97.23375,944.8629166666666,,0.33208333333333334,
2016-07-18,17.73,32.755833333333335,8.073333333333332,29.34166666666667,37.41458333333333,4.363333333333333,2.361666666666667,11.720416666666667,0.06583333333333334,1.1416666666666666,,24.29958333333333,74.0275,1.0033333333333332,18.690833333333334,78.64478260869565,945.5166666666668,,0.5245833333333333,0.375
2016-07-19,20.094761904761906,36.67631578947368,8.073333333333332,29.386666666666667,37.46041666666667,4.364583333333333,2.4154166666666668,11.374166666666667,0.07333333333333333,1.15,,24.05541666666667,73.70625,1.2083333333333333,18.337083333333336,102.26142857142858,945.2466666666666,,0.5225000000000001,
2016-07-20,21.695652173913043,34.45708333333334,8.855,30.846249999999998,39.70166666666667,4.7875,2.3275,12.034583333333332,0.04958333333333333,0.9291666666666667,,24.300416666666667,73.64,1.11,18.166666666666668,106.04285714285714,944.1829166666666,,0.39458333333333334,0.25
2016-07-21,16.155,34.00541666666667,10.251666666666667,33.44291666666667,43.69291666666667,5.541666666666667,2.4125,11.870416666666666,0.042083333333333334,0.8104166666666667,,25.036666666666665,69.2625,1.41375,18.551666666666666,148.77666666666667,943.0208333333334,,0.35000000000000003,
2016-07-22,22.196363636363635,36.11958333333333,10.413333333333334,33.74333333333333,44.15416666666667,5.629166666666666,2.330833333333333,11.540416666666667,0.0675,1.1441666666666668,,23.634583333333335,75.85583333333334,0.9945833333333334,17.775833333333335,68.90428571428572,942.1462499999999,,0.50875,0.25
2016-07-23,29.349166666666665,40.81842105263158,10.171666666666667,33.21333333333333,43.38625,5.4975,2.3675,11.484583333333333,0.06125,1.0191666666666668,,25.096666666666668,70.47583333333334,1.1566666666666667,18.019583333333333,131.90428571428572,941.4920833333334,,0.42874999999999996,0.12
2016-07-24,29.70375,41.5905,11.155416666666667,35.1225,46.27791666666667,6.03,2.2087499999999998,11.39,0.03166666666666667,0.45125,,26.635416666666668,64.55541666666666,1.1333333333333333,18.788333333333334,258.715,941.4104166666666,,0.14625,
2016-07-25,35.912083333333335,37.52375,10.77875,34.416666666666664,45.196666666666665,5.826666666666667,2.1504166666666666,10.47125,0.03666666666666667,0.6016666666666667,,27.04625,63.0225,1.3566666666666667,17.794166666666666,259.4592857142857,941.8000000000001,,0.20125,
2016-07-26,30.10875,35.73833333333334,10.476666666666667,33.858333333333334,44.336666666666666,5.663333333333333,2.1329166666666666,10.655416666666666,0.043750000000000004,0.8345833333333333,,26.158749999999998,66.08666666666666,1.2191666666666667,17.653333333333332,203.76142857142855,942.3870833333334,,0.2575,
2016-07-27,32.45041666666667,34.10541666666666,10.629166666666666,34.14625,44.775,5.74625,2.1545833333333335,11.051666666666668,0.042916666666666665,0.7141666666666667,,25.09875,67.31791666666668,1.3045833333333332,17.54375,115.84866666666667,943.1654166666667,,0.255,
